dam,idcth,idcth_liq,idctqh,idctqh_liq,idc3h,idc3h_vol,idc3qh,idc3qh_vol,ida1,ida1_vol,ida2,ida2_vol,ida3,ida3_vol,temp_1,irradiation_1,net_load,net_load_prog,temp_2,irradiation_2,ts_start,ts_end
113.36,113.463672,54.85,70.110896,45.575,106.339621,21.775,59.194608,44.425,93.3,6.925,115.0,15.275,,,20.6,0.0,,3861.25,20.6,0.0,2025-06-13 23:45:00,2025-06-14 00:00:00
113.36,113.463672,54.85,115.358742,19.175,106.339621,21.775,114.27975,18.05,111.18,5.025,119.36,4.0,,,20.9,0.0,,3911.62,20.9,0.0,2025-06-13 23:30:00,2025-06-13 23:45:00
113.36,113.463672,54.85,123.277821,17.275,106.339621,21.775,121.857855,16.9,121.07,5.25,125.0,4.0,,,21.3,0.0,,3973.13,21.3,0.0,2025-06-13 23:15:00,2025-06-13 23:30:00
113.36,113.463672,54.85,132.133865,41.9,106.339621,21.775,120.364547,33.15,135.1,5.75,130.0,23.7,,,21.85,0.0,,4045.79,21.85,0.0,2025-06-13 23:00:00,2025-06-13 23:15:00
132.12,125.343417,58.825,90.220705,41.3,115.632583,29.9,86.637078,38.0,109.01,6.475,115.74,3.5,,,22.6,0.0,,4129.01,22.6,0.0,2025-06-13 22:45:00,2025-06-13 23:00:00
132.12,125.343417,58.825,108.18052,34.85,115.632583,29.9,105.186396,29.35,116.74,4.15,120.81,3.5,,,23.5,0.0,,4220.5,23.5,0.0,2025-06-13 22:30:00,2025-06-13 22:45:00
132.12,125.343417,58.825,129.94896,33.525,115.632583,29.9,119.043793,20.1,138.79,3.475,139.85,9.175,,,24.35,0.0,,4319.69,24.35,0.0,2025-06-13 22:15:00,2025-06-13 22:30:00
132.12,125.343417,58.825,161.981693,31.525,115.632583,29.9,144.744548,19.4,159.98,3.575,159.56,7.125,,,25.0,0.0,,4426.57,25.0,0.0,2025-06-13 22:00:00,2025-06-13 22:15:00
150.52,171.185392,96.85,106.475307,49.35,167.259558,48.675,87.344365,34.7,116.96,6.25,130.25,13.2,,,25.3,0.0,,4548.16,25.3,0.0,2025-06-13 21:45:00,2025-06-13 22:00:00
150.52,171.185392,96.85,116.947777,38.025,167.259558,48.675,106.051519,37.35,130.25,5.875,137.67,10.0,,,25.4,0.0,,4636.66,25.4,0.0,2025-06-13 21:30:00,2025-06-13 21:45:00
150.52,171.185392,96.85,215.692897,20.125,167.259558,48.675,224.216079,14.475,149.45,4.125,180.8,6.925,,,25.4,0.0,,4700.28,25.4,0.0,2025-06-13 21:15:00,2025-06-13 21:30:00
150.52,171.185392,96.85,231.091741,26.225,167.259558,48.675,242.785975,18.7,159.72,4.45,182.53,6.625,,,25.55,0.0,,4739.01,25.55,0.0,2025-06-13 21:00:00,2025-06-13 21:15:00
174.42,215.010318,124.6,200.473938,49.625,212.229709,33.525,172.260614,25.65,196.11,6.05,192.85,8.375,,,25.8,0.0,,4760.41,25.8,0.0,2025-06-13 20:45:00,2025-06-13 21:00:00
174.42,215.010318,124.6,230.042759,46.15,212.229709,33.525,238.079336,26.75,174.97,6.65,189.13,4.625,,,26.15,10.519664,,4794.65,26.15,10.519664,2025-06-13 20:30:00,2025-06-13 20:45:00
174.42,215.010318,124.6,206.467306,46.575,212.229709,33.525,210.106283,26.775,162.58,7.975,162.12,7.275,,,26.5,23.337349,,4849.28,26.5,23.337349,2025-06-13 20:15:00,2025-06-13 20:30:00
174.42,215.010318,124.6,239.569406,68.7,212.229709,33.525,294.619001,33.55,157.23,7.525,167.23,10.925,,,26.75,36.644447,,4924.31,26.75,36.644447,2025-06-13 20:00:00,2025-06-13 20:15:00
138.14,177.786896,177.4,345.069988,55.275,185.143968,95.05,419.95689,47.2,193.64,6.3,269.87,12.275,,,26.9,51.993416,,5011.54,26.9,51.993416,2025-06-13 19:45:00,2025-06-13 20:00:00
